ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2020-2288,"In Jenkins Audit Trail Plugin 3.6 and earlier, the default regular expression pattern could be bypassed in many cases by adding a suffix to the URL that would be ignored during request handling.",Jenkins Audit Trail Plugin,3.6 and earlier,,,,,adding a suffix to the URL that would be ignored during request handling,the default regular expression pattern could be bypassed in many cases
CVE-2020-15095,"Versions of the npm CLI prior to 6.14.6 are vulnerable to an information exposure vulnerability through log files. The CLI supports URLs like ""<protocol>://[<user>[:<password>]@]<hostname>[:<port>][:][/]<path>"". The password value is not redacted and is printed to stdout and also to any generated log files.",the npm CL,prior to 6.14.6,an information exposure vulnerability,"log files |n The CLI supports URLs like ""<protocol>://[<user>[:<password>]@]<hostname>[:<port>][:][/]<path>"" |n The password value is not redacted and is printed to stdout and also to any generated log files",,,,
CVE-2020-27894,The issue was addressed with additional user controls. This issue is fixed in macOS Big Sur 11.0.1. Users may be unable to remove metadata indicating where files were downloaded from.,macOS Big Sur,11.0.1,,Users may be unable to remove metadata indicating where files were downloaded from,,,,
CVE-2020-20139,Cross Site Scripting (XSS) vulnerability in the Remote JSON component Under the Connect menu in Flexmonster Pivot Table & Charts 2.7.17.,Flexmonster Pivot Table & Charts,2.7.17,Cross Site Scripting (XSS) vulnerability,,the Remote JSON component Under the Connect menu,,,
CVE-1999-1225,"rpc.mountd on Linux, Ultrix, and possibly other operating systems, allows remote attackers to determine the existence of a file on the server by attempting to mount that file, which generates different error messages depending on whether the file exists or not.",Linux |n Ultrix,,,,rpc.mountd,remote attackers,attempting to mount that file,determine the existence of a file on the server
CVE-1999-1574,"Buffer overflow in the lex routines of nslookup for AIX 4.3 may allow attackers to cause a core dump and possibly execute arbitrary code via ""long input strings.""", AIX,4.3,Buffer overflow,,the lex routines of nslookup,,long input strings.,cause a core dump and possibly execute arbitrary code
CVE-2020-7634,heroku-addonpool through 0.1.15 is vulnerable to Command Injection.,heroku-addonpool,through 0.1.15,Command Injection,,,,,
CVE-2020-13224,"TP-LINK NC200 devices through 2.1.10 build 200401, NC210 devices through 1.0.10 build 200401, NC220 devices through 1.3.1 build 200401, NC230 devices through 1.3.1 build 200401, NC250 devices through 1.3.1 build 200401, NC260 devices through 1.5.3 build_200401, and NC450 devices through 1.5.4 build 200401 have a Buffer Overflow",TP-LINK NC200 devices |n NC210 devices |n  NC220 devices |n NC230 devices |n NC250 devices |n NC260 devices |n NC450 devices,through 2.1.10 build 200401 |n through 1.0.10 build 200401 |n through 1.3.1 build 200401 |n through 1.3.1 build 200401 |n through 1.3.1 build 200401 |n through 1.5.3 build_200401 |n through 1.5.4 build 200401,Buffer Overflow,,,,,
CVE-2020-25653,"A race condition vulnerability was found in the way the spice-vdagentd daemon handled new client connections. This flaw may allow an unprivileged local guest user to become the active agent for spice-vdagentd, possibly resulting in a denial of service or information leakage from the host. The highest threat from this vulnerability is to data confidentiality as well as system availability. This flaw affects spice-vdagent versions 0.20 and prior.",spice-vdagent,0.20 and prior,race condition vulnerability,,the way the spice-vdagentd daemon handled new client connections,unprivileged local guest user,,"become the active agent for spice-vdagentd, possibly resulting in a denial of service or information leakage from the host |n data confidentiality |n system availability"
CVE-2020-2243,"Jenkins Cadence vManager Plugin 3.0.4 and earlier does not escape build descriptions in tooltips, resulting in a stored cross-site scripting (XSS) vulnerability exploitable by attackers with Run/Update permission.",Jenkins Cadence vManager Plugin,3.0.4 and earlier,stored cross-site scripting (XSS) vulnerability,does not escape build descriptions in tooltips,,attackers with Run/Update permission,,
CVE-2020-35745,"PHPGURUKUL Hospital Management System V 4.0 does not properly restrict access to admin/dashboard.php, which allows attackers to access all data of users, doctors, patients, change admin password, get appointment history and access all session logs.",PHPGURUKUL Hospital Management System,V 4.0,,does not properly restrict access to admin/dashboard.php,,,,"access all data of users, doctors, patients, change admin password, get appointment history and access all session logs"
CVE-2020-27156,Veritas APTARE versions prior to 10.5 did not perform adequate authorization checks. This vulnerability could allow for remote code execution by an unauthenticated user.,Veritas APTARE,prior to 10.5,,did not perform adequate authorization checks,,unauthenticated user,,remote code execution
CVE-2020-7719,Versions of package locutus before 2.0.12 are vulnerable to prototype Pollution via the php.strings.parse_str function.,package locutus,before 2.0.12,prototype Pollution,,the php.strings.parse_str function,,,
CVE-2020-3380,"A vulnerability in the CLI of Cisco Data Center Network Manager (DCNM) could allow an authenticated, local attacker to elevate privileges to root and execute arbitrary commands on the underlying operating system. The vulnerability is due to insufficient restrictions during the execution of an affected CLI command. An attacker could exploit this vulnerability by authenticating as the fmserver user and submitting malicious input to a specific command. A successful exploit could allow the attacker to elevate privileges to root and execute arbitrary commands on the underlying operating system.", Cisco Data Center Network Manager (DCNM),,,insufficient restrictions during the execution of an affected CLI command,the CLI,"authenticated, local attacker",authenticating as the fmserver user and submitting malicious input to a specific command,elevate privileges to root and execute arbitrary commands on the underlying operating system
CVE-2020-26241,"Go Ethereum, or ""Geth"", is the official Golang implementation of the Ethereum protocol. This is a Consensus vulnerability in Geth before version 1.9.17 which can be used to cause a chain-split where vulnerable nodes reject the canonical chain. Geth's pre-compiled dataCopy (at 0x00...04) contract did a shallow copy on invocation. An attacker could deploy a contract that writes X to an EVM memory region R, then calls 0x00..04 with R as an argument, then overwrites R to Y, and finally invokes the RETURNDATACOPY opcode. When this contract is invoked, a consensus-compliant node would push X on the EVM stack, whereas Geth would push Y. This is fixed in version 1.9.17.","Go Ethereum, or ""Geth""",before version 1.9.17,Consensus vulnerability,Geth's pre-compiled dataCopy (at 0x00...04) contract did a shallow copy on invocation,,,,"cause a chain-split where vulnerable nodes reject the canonical chain |n deploy a contract that writes X to an EVM memory region R, then calls 0x00..04 with R as an argument, then overwrites R to Y, and finally invokes the RETURNDATACOPY opcode. When this contract is invoked, a consensus-compliant node would push X on the EVM stack, whereas Geth would push Y"
CVE-2020-0559,Insecure inherited permissions in some Intel(R) PROSet/Wireless WiFi products on Windows* 7 and 8.1 before version 21.40.5.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,Intel(R) PROSet/Wireless WiFi products on Windows*,7 and 8.1 before version 21.40.5.1,,,Insecure inherited permissions,authenticated user,local access,potentially enable escalation of privilege
CVE-2020-15142,"In openapi-python-client before version 0.5.3, clients generated with a maliciously crafted OpenAPI Document can generate arbitrary Python code. Subsequent execution of this malicious client is arbitrary code execution.",openapi-python-client,before version 0.5.3,,clients generated with a maliciously crafted OpenAPI Document can generate arbitrary Python code,,,,arbitrary code execution
CVE-2020-6337,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated HDR file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,version - 9,,Improper Input Validation,,,,open manipulated HDR file received from untrusted sources |n crashing of the application and becoming temporarily unavailable until the user restarts the application
CVE-2020-3168,"A vulnerability in the Secure Login Enhancements capability of Cisco Nexus 1000V Switch for VMware vSphere could allow an unauthenticated, remote attacker to cause an affected Nexus 1000V Virtual Supervisor Module (VSM) to become inaccessible to users through the CLI. The vulnerability is due to improper resource allocation during failed CLI login attempts when login parameters that are part of the Secure Login Enhancements capability are configured on an affected device. An attacker could exploit this vulnerability by performing a high amount of login attempts against the affected device. A successful exploit could cause the affected device to become inaccessible to other users, resulting in a denial of service (DoS) condition requiring a manual power cycle of the VSM to recover.",Cisco Nexus 1000V Switch for VMware vSphere,,,improper resource allocation during failed CLI login attempts when login parameters that are part of the Secure Login Enhancements capability are configured on an affected device,Secure Login Enhancements capability,"unauthenticated, remote attacker",performing a high amount of login attempts against the affected device,cause the affected device to become inaccessible to other users
CVE-2020-15922,There is an OS Command Injection in Mida eFramework 2.9.0 that allows an attacker to achieve Remote Code Execution (RCE) with administrative (root) privileges. Authentication is required.,Mida eFramework,2.9.0,OS Command Injection,,,,Authentication,achieve Remote Code Execution (RCE) with administrative (root) privileges
CVE-2020-14559,"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Information Schema). Supported versions that are affected are 5.6.48 and prior, 5.7.30 and prior and 8.0.20 and prior. Easily exploitable vulnerability allows low privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized read access to a subset of MySQL Server accessible data. CVSS 3.1 Base Score 4.3 (Confidentiality impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N).",MySQL Server product of Oracle MySQL,5.6.48 and prior |n 5.7.30 and prior and 8.0.20 and prior,,,Server: Information Schema,low privileged attacker with network access via multiple protocols,,compromise MySQL Server |n unauthorized read access to a subset of MySQL Server accessible data
CVE-2020-4357,IBM Spectrum Scale 5.0.0.0 through 5.0.4.4 could allow a remote attacker to obtain sensitive information when a detailed technical error message is returned in the browser. This information could be used in further attacks against the system. IBM X-Force ID: 178761.,IBM Spectrum Scale,5.0.0.0 through 5.0.4.4,,,,remote attacker,a detailed technical error message is returned in the browser,obtain sensitive information
CVE-2020-29380,"An issue was discovered on V-SOL V1600D V2.03.69 and V2.03.57, V1600D4L V1.01.49, V1600D-MINI V1.01.48, V1600G1 V2.0.7 and V1.9.7, and V1600G2 V1.1.4 OLT devices. TELNET is offered by default but SSH is not always available. An attacker can intercept passwords sent in cleartext and conduct a man-in-the-middle attack on the management of the appliance.",V-SOL V1600D |n V1600D4L |n V1600D-MINI |n V1600G1 |n V1600G2,V2.03.69 and V2.03.57 |n V1.01.49 |n V1.01.48 |n V2.0.7 and V1.9.7 |n V1.1.4 OLT,man-in-the-middle attack ,TELNET is offered by default but SSH is not always available,the management of the appliance,,,intercept passwords sent in cleartext 
